tf	series	ctl	case	cell-type	pert	species	additional-meta
ATF3	GSE81405	GSM2430219|GSM2430222	GSM2430220|GSM2430221|GSM2430223|GSM2430224	HDF	siRNA	human	
ATF3	GSE87986	ENCODE	GSM2343141|GSM2343142	K562	SHRNA	human	
ATF4	GSE97384	GSM2563637|GSM2563638	GSM2563643|GSM2563644	HEK293	KO	human	
ATF6	GSE106847	GSM2855452|GSM2855453|GSM2855454	GSM2855455|GSM2855456|GSM2855457	HESC	chemical activator	Human	
BACH1	GSE88543	ENCODE	GSM2344162|GSM2344163	K562	shRNA	human	
BCLAF1	GSE88258	ENCODE	GSM2343680|GSM2343681	K562	shRNA	human	
BCLAF1	GSE88301	ENCODE	GSM2343748|GSM2343749	HEPG2	shRNA	human	
BNC2	GSE79586	GSM2098690|GSM2098691	GSM2098688|GSM2098689	MDAMB231	siRNA	human	
BNC2	GSE79586	GSM2098658|GSM2098659	GSM2098656|GSM2098657	BT549	siRNA	human	
CEBPA	GSE65235	GSM1590460|GSM1590461	GSM1590462|GSM1590463	K562	OE	Human	
CEBPZ	GSE88651	ENCODE	GSM2344349|GSM2344350	HEPG2	shRNA	hUman	
CEBPZ	GSE88684	ENCODE	GSM2344408|GSM2344409	K562	shRNA	hUman	
CHD1	GSE84610	GSM2242748|GSM2242749|GSM2242750	GSM2242742|GSM2242743|GSM2242744	22Rv1	KO	human	
CHD1	GSE84610	GSM2242748|GSM2242749|GSM2242750	GSM2242745|GSM2242746|GSM2242747	22Rv1	KD	human	
CHD1	GSE88087	ENCODE	GSM2343337|GSM2343339	K562	shRNA	human	
CHD2	GSE91613	ENCODE	GSM2423227|GSM2423228	K562	shRNA	hUman	
CTCF	GSE44267	GSM1081538|GSM1081539	GSM1081540|GSM1081541	HEK293	siRNA	Human	
CTCF	GSE63487	GSM1550725|GSM1550727	GSM1550726|GSM1550728	LNCAP	siRNA	Human	
CTCF	GSE88001	ENCODE	GSM2343171|GSM2343172	K562	shRNA	human	
DNAJC2	GSE87950	ENCODE	GSM2343081|GSM2343082	HEPG2	shRNA	human	
DNAJC2	GSE88372	ENCODE	GSM2343873|GSM2343874	K562	shRNA	human	
DNAJC21	GSE88009	ENCODE	GSM2343185|GSM2343186	K562	shRNA	human	
DNAJC21	GSE88239	ENCODE	GSM2343646|GSM2343647	HEPG2	shRNA	human	
E2F1	GSE95304	GSM2501571|GSM2501572|GSM2501573|GSM2501574|GSM2501575|GSM2501576|GSM2501577|GSM2501578|GSM2501579|GSM2501580	GSM2501585|GSM2501586	NKI	shRNA	Human	
E2F4	GSE88612	ENCODE	GSM2344279|GSM23442780	K562	shRNA	human	
EBF3	GSE90682	GSM2410323|GSM2410324|GSM2410325	GSM2410326|GSM2410327|GSM2410328	SK-N-SH	OE	human	
EHF	GSE63397	GSM1548047|GSM1548048|GSM1548049|GSM1548050|GSM1548051|GSM1548052|GSM1548053|GSM1548054|GSM1548055|GSM1548056|GSM1548057	GSM1548058|GSM1548059|GSM1548060|GSM1548061|GSM1548062|GSM1548063|GSM1548064|GSM1548065|GSM1548066|GSM1548067|GSM1548068|GSM1548069	A549	OE	human	
EHF	GSE63397	GSM1548037|GSM1548038|GSM1548039|GSM1548040|GSM1548041	GSM1548042|GSM1548043|GSM1548044|GSM1548045|GSM1548046	Calu-3	KD 	human	
EHF	GSE85402	GSM2266295|GSM2266296|GSM2266297|GSM2266298|GSM2266299	GSM2266300|GSM2266301|GSM2266302|GSM2266303|GSM2266304	HBE	siRNA	human	
ELF3	GSE64558	GSM1574311|GSM1574312	GSM1574313|GSM1574314|GSM1574315	CFPAC1	KO	Human	
EP400	GSE69876	GSM1711849|GSM1711850|GSM1711851	GSM1711852|GSM1711853|GSM1711854	MKL1	shRNA	human	
EPAS1	GSE62974	GSM1537573|GSM1537574|GSM1537575	GSM1537576|GSM1537577|GSM1537578	HUVEC	KD	human	
ERG	GSE53665	GSM1909021|GSM1909016	GSM1909017|GSM1909022	CD34	OE	human	
ETS1	GSE59020	GSM1424515|GSM1424516|GSM1424517	GSM1424518|GSM1424519|GSM1424520	DU145	shRNA	human	
ETV2	GSE57395	GSM1381985|GSM1381986	GSM1382015|GSM1382016	HESC	OE	Human	
EWSR1	GSE80928	ENCODE	GSM2138854|GSM2138855	K562	shRNA	human	
EWSR1	GSE88341	ENCODE	GSM2343818|GSM2343819	HEPG2	shRNA	hUman	
EZH1	GSE59089	GSM1427132|GSM1427133|GSM1427134	GSM1427135|GSM1427136|GSM1427137	proE	shRNA	Human	
EZH2	GSE59089	GSM1427132|GSM1427133|GSM1427134	GSM1427138|GSM1427139|GSM1427140	proE	shRNA	Human	
EZH2	GSE71164	GSM1828766|GSM1828767|GSM1828768	GSM1828769|GSM1828770|GSM1828771	HUVEC	shRNA	Human	fluid-shear-stress-culture-cond
EZH2	GSE71164	GSM1828760|GSM1828761|GSM1828762	GSM1828763|GSM1828764|GSM1828765	HUVEC	shRNA	Human	
EZH2	GSE72524	GSM1864032|GSM1864033	GSM1864034|GSM1864035	MDAMB231	KO	Human	
EZH2	GSE76271	GSM1978810|GSM1978811	GSM1978814|GSM1978815	MCF7	siRNA	Human	
EZH2	GSE76626	GSM2029370|GSM2029371|GSM2029372	GSM2029376|GSM2029377|GSM2029378	HESC	KO	Human	
EZH2	GSE87534	GSM2333479|GSM2333480|GSM2333481	GSM2333482|GSM2333483|GSM2333484	HUVEC	siRNA	Human	
EZH2	GSE95304	GSM2501571|GSM2501572|GSM2501573|GSM2501574|GSM2501575|GSM2501576|GSM2501577|GSM2501578|GSM2501579|GSM2501580	GSM2501589|GSM2501590	NKI	shRNA	Human	
FOXA2	GSE44875	GSM1654307|GSM1654308	GSM1654309|GSM1654310	DEC	KD	Human	
FOXD4L6	GSE79586	GSM2098754|GSM2098755	GSM2098728GSM2098729	MCF7	siRNA	human	
FOXD4L6	GSE79586	GSM2098722|GSM2098723	GSM2098696|GSM2098697	T47D	siRNA	human	
FOXD4L6	GSE79586	GSM2098690|GSM2098691	GSM2098664|GSM2098665	MDAMB231	siRNA	human	
FOXD4L6	GSE79586	GSM2098658|GSM2098659	GSM2098632|GSM2098633	BT549	siRNA	human	
FOXF2	GSE79306	GSM2091241|GSM2091242|GSM2091243	GSM2091244|GSM2091245|GSM2091246	HUVEC	OE	Human	
FOXO1	GSE94036	GSM2467446|GSM2467447|GSM2467448	GSM2467455|GSM2467456|GSM2467457	HESC	siRNA	human	
FOXP2	GSE100291	GSM2677357|GSM2677362	GSM2677358|GSM2677363	SHSY5Y	OE	human	
FOXP3	GSE81157	GSM2143918|GSM2143919|GSM2143920	GSM2143924|GSM2143925|GSM2143926	SW780	OE	hUman	
FOXQ1	GSE103071	GSM2753335|GSM2753336	GSM2753337|GSM2753338	SKMEL147	OE	Human	
FOXQ1	GSE79306	GSM2091241|GSM2091242|GSM2091243	GSM2091250|GSM2091251|GSM2091252	HUVEC	OE	human	
FOXQ1	GSE79586	GSM2098690|GSM2098691	GSM2098682|GSM2098683	MDAMB231	siRNA	human	
FOXQ1	GSE79586	GSM2098658|GSM2098659	GSM2098650|GSM2098651	BT549	siRNA	human	
GATA2	GSE38393	GSM941196|GSM941198	GSM941199|GSM941211	LNCAP	siRNA	Human	
GATA2	GSE57395	GSM1381985|GSM1381986	GSM1382011|GSM1382012	HESC	OE	Human	
GATA3	GSE72141	GSM1856020|GSM1856021|GSM1856022	GSM1856023|GSM1856024|GSM1856025	MDAMB231	OE	Human	
GATA4	GSE85001	GSM2255731|GSM2255732	GSM2255733|GSM2255734	A549	OE	human	
GATA6	GSE69322	GSM1697725|GSM1697726	GSM1697721|GSM1697722	HESC	OE	human	mTeSR1-media
GATA6	GSE69322	GSM1697723|GSM1697724	GSM1697719|GSM1697720	HESC	OE	human	KSR-media
GATA6	GSE92581	GSM2432913|GSM2432914	GSM2432915|GSM2432916	H1 	KD	human	
GLI1	GSE56788	GSM1369063|GSM1369078|GSM1369093	GSM1369069|GSM1369084|GSM1369099	HCT116	siRNA	human	
GLI1	GSE57871	GSM1395358|GSM1395372|GSM1395386	GSM1395364|GSM1395378|GSM1395392	HCT116	siRNA	human	8hr
GLI1	GSE57871	GSM1395357|GSM1395371|GSM1395385	GSM1395363|GSM1395377|GSM1395391	HCT116	siRNA	human	4hr
GTF2F1	GSE80871	ENCODE	GSM2138740| GSM2138741	HEPG2	shRNA	human	
GTF2F1	GSE88096	ENCODE	GSM2343370|GSM2343372	K562	shRNA	human	
HIF1A	GSE67237	GSM1642777|GSM1642778|GSM1642779	GSM1642774|GSM1642775|GSM1642776	786O	OE	Human	
HNF1A	GSE85556	GSM2277140|GSM2277141	GSM2277137|GSM2277139	LNCAP	OE 	human	
HNF4G	GSE85557	GSM2277142|GSM2277143	GSM2277144|GSM2277145	LNCAP	OE	Human	
HOXA1	GSE37703	GSM925768|GSM925769|GSM925770	GSM925771|GSM925772|GSM925773	LFB	KD	Human	
HOXA11	GSE79586	GSM2098754|GSM2098755	GSM2098742|GSM2098743	MCF7	siRNA	human	
HOXA11	GSE79586	GSM2098722|GSM2098723	GSM2098710|GSM2098711	T47D	siRNA	human	
HOXA11	GSE79586	GSM2098690|GSM2098691	GSM2098678|GSM2098679	MDAMB231	siRNA	human	
HOXA11	GSE79586	GSM2098658|GSM2098659	GSM2098646|GSM2098647	BT549	siRNA	human	
HOXA7	GSE76683	GSM2035722|GSM2035723|GSM2035724|GSM2035725	GSM2035726|GSM2035727|GSM2035728|GSM2035729	FL-HSPC	shRNA	Human	
IRX6	GSE79586	GSM2098754|GSM2098755	GSM2098746|GSM2098747	MCF7	siRNA	human	
IRX6	GSE79586	GSM2098722|GSM2098723	GSM2098714|GSM2098715	T47D	siRNA	human	
IRX6	GSE79586	GSM2098690|GSM2098691	GSM2098684|GSM2098685	MDAMB231	siRNA	human	
IRX6	GSE79586	GSM2098658|GSM2098659	GSM2098652|GSM2098653	BT549	siRNA	human	
JUN	GSE53470	GSM1294145|GSM1294146|GSM1294147	GSM1294148|GSM1294149|GSM1294150	PC3	siRNA	human	
JUNB	GSE63079	GSM1540461|GSM1540462|GSM1540463	GSM1540464|GSM1540465|GSM1540466	foreskin	KD	human	
JUNB	GSE98867	GSM2616935|GSM2616936	GSM2616939|GSM2616940	Mel888	KO	human	
JUND	GSE53470	GSM1294145|GSM1294146|GSM1294147	GSM1294151|GSM1294152|GSM1294153	PC3	siRNA	human	
KLF10	GSE90566	GSM2406936|GSM2406937	GSM2406940|GSM2406941	KLF10	siRNA	human	
KLF10	GSE90566	GSM2406924|GSM2406925|GSM2406926	GSM2406930|GSM2406931|GSM2406932	PANC1	siRNA	human	
KLF5	GSE64558	GSM1574311|GSM1574312	GSM1574316|GSM1574317	CFPAC1	KO	Human	
KLF9	GSE62212	GSM1522568|GSM1522570	GSM1522567|GSM1522569	GBM1A	OE	human	
LARP4	GSE88504	ENCODE	GSM2344091|GSM2344092	HEPG2	shRNA	human	
LARP4	GSE88607	ENCODE	GSM2344270|GSM2344271	K562	shRNA	human	
LARP7	GSE88412	ENCODE	GSM2343939|GSM2343940	HEPG2	shRNA	human	
LARP7	GSE88522	ENCODE	GSM2344123|GSM2344124	K562	shRNA	human	
LIN28	GSE71012	GSM1825447|GSM1825448	GSM1825449|GSM1825450	MCF7	siRNA	human	
LIN28	GSE93256	GSM2449210|GSM2449211|GSM2449212|GSM2449213|GSM2449214|GSM2449215	GSM2449216|GSM2449217|GSM2449218|GSM2449219|GSM2449220|GSM2449221	CD34	OE	human	
LIN28B	GSE88387	ENCODE	GSM2343898|GSM2343899	K562	shRNA	human	
LIN28B	GSE88648	ENCODE	GSM2344343|GSM2344344	HEPG2	shRNA	hUman	
MAF	GSE98368	GSM2592826|GSM2592827	GSM2592828|GSM2592829	primary-macrophages	siRNA	human	
MAF	GSE98368	GSM2592816|GSM2592817	GSM2592820|GSM2592821	primary-macrophages	OE	human	
MAFG	GSE88059	ENCODE	GSM2343273|GSM2343274	K562	shRNA	human	
MAFK	GSE88428	ENCODE	GSM2343966|GSM2343967	K562	shRNA	human	
MATR3	GSE80893	ENCODE	GSM2138784|GSM2138785	HEPG2	shRNA	human	
MATR3	GSE80927	ENCODE	GSM2138852|GSM21388523	K562	shRNA	human	
MAZ	GSE88056	ENCODE	GSM2343267|GSM2343268|GSM2343269	K562	SHRNA	human	
MBD2	GSE63234	GSM1544129|GSM1544130	GSM1544131|GSM1544132	HMLER	KD	Human	
MBNL1	GSE76487	GSM2026522|GSM2026523	GSM2026524|GSM2026525|GSM2026526|GSM2026527	MDAMB231	shRNA	human	
MBNL1	GSE88116	ENCODE	GSM2343438|GSM2343439	K562	shRNA	human	
MEIS2	GSE81328	GSM2150417|GSM2150418	GSM2150423|GSM2150424	Kasumi1	KD	human	
MITF	GSE61966	GSM1517768|GSM1517769|GSM1517770	GSM1517771|GSM1517772|GSM1517773	H3A	KD	human	
MITF	GSE61966	GSM1517764|GSM1517765	GSM1517766|GSM1517767	501Mel	KD	human	
MXI1	GSE88420	ENCODE	GSM2343952|GSM2343953	K562	shRNA	human	
MYB	GSE85187	GSM2259922|GSM2259923|GSM2259924	GSM2259925|GSM2259926|GSM2259927	A549	KD	human	
MYC	GSE101738	GSM2714254|GSM2714255|GSM2714256	GSM2714260|GSM2714261|GSM2714262	MCF7	OE	Human	
MYC	GSE59819	GSM1446866|GSM1446868|GSM1446870|GSM1446872	GSM1446867|GSM1446869|GSM1446871|GSM1446873	U2OS	OE	human	
MYC	GSE66182	GSM1616451|GSM1616452	GSM1616453|GSM1616454|GSM1616455	HMEC	hyperactive	Human	
MYC	GSE66789	GSM1632189|GSM1632191	GSM1632190|GSM1632192	U2OS	OE	human	
MYC	GSE66927	GSM1634443|GSM1634445|GSM1634446	GSM1634444|GSM1634447|GSM1634448	U2OS	OE	human	
MYCN	GSE80397	GSM2125955|GSM2125956	GSM2125957|GSM2125958	IMR575	SHRNA	Human	24hr
MYCN	GSE80397	GSM2125951|GSM2125952	GSM2125953|GSM2125954	IMR575	SHRNA	Human	12hr
MYCN	GSE80397	GSM2125947|GSM2125948	GSM2125949|GSM2125950	IMR575	SHRNA	Human	6hr
MYCN	GSE84389	GSM2232918|GSM2232919|GSM2232920	GSM2232921|GSM2232922|GSM2232923	SK-N-BE2	shRNA	human	
NFE2L2	GSE91484	ENCODE	GSM2423010|GSM2423011	K562	shRNA	hUman	
NFKB1	GSE57027	GSM1373306|GSM1373307|GSM1373308	GSM1369099|GSM1369069|GSM1369084	hek293	OE	human	
NFX1	GSE87953	ENCODE	GSM2343087|GSM2343088	K562	shRNA	human	
NFYA	GSE56788	GSM1369063|GSM1369078|GSM1369093	GSM1369071|GSM1369086|GSM1369101 	HCT116	siRNA	human	
NKRF	GSE88328	ENCODE	GSM2343794|GSM2343795	HEPG2	shRNA	hUman	
NKX25	GSE69618	GSM1704812|GSM1704813|GSM1704814|GSM1704815	GSM1704806|GSM1704807	H1	shRNA	human	day10
NKX25	GSE69618	GSM1704804|GSM1704805	GSM1704798|GSM1704799	H1	shRNA	human	day6
NKX25	GSE69618	GSM1704796|GSM1704797	GSM1704790|GSM1704791	H1	shRNA	human	day2
OVOL1	GSE48230	GSM1173124|GSM1173125|GSM1173126	GSM1173127|GSM1173128|GSM1173129	PC3	OE	human	
OVOL1	GSE51975	GSM1256453|GSM1256454	GSM1256455|GSM1256456	MDA	OE	human	
OVOL1	GSE66962	GSM1635091|GSM1635092|GSM1635093	GSM1635094|GSM1635095|GSM1635096	BEWO	KD	human	
OVOL2	GSE48230	GSM1173124|GSM1173125|GSM1173126	GSM1173130|GSM1173131	PC3	OE	human	
OVOL2	GSE51975	GSM1256453|GSM1256454	GSM1256457|GSM1256458	MDA	OE	human	
PAX2	GSE59781	GSM1446338|GSM1446339|GSM1446340|GSM1446341	GSM1446342|GSM1446343|GSM1446344|GSM1446345	REP	siRNA	human	
PAX5	GSE79586	GSM2098754|GSM2098755	GSM2098730|GSM2098731	MCF7	siRNA	human	
PAX5	GSE79586	GSM2098722|GSM2098723	GSM2098698|GSM2098699	T47D	siRNA	human	
PAX7	GSE98976	GSM2629517|GSM2629519|GSM2629521	GSM2629514|GSM2629515|GSM2629516|GSM2629518	H9	OE	human	prolif-myog
PAX7	GSE98976	GSM2629506|GSM2629509|GSM2629513|GSM2629511	GSM2629507|GSM2629508|GSM2629510|GSM2629512	H9	OE	human	mesod
PBRM1	GSE76199	GSM1976370|GSM1976371|GSM1976372	GSM1976373|GSM1976374|GSM1976375	CAKI2	OE	human	
PBX3	GSE71261	GSM1831601|GSM1831602	GSM1831603|GSM1831604	SMMC-7721	OE	human	
PGR	GSE94036	GSM2467446|GSM2467447|GSM2467448	GSM2467452|GSM2467453|GSM2467454	HESC	siRNA	human	
PHF20	GSE82115	GSM2183697|GSM2183698|GSM2183699	GSM2183700|GSM2183701|GSM2183702	H1792	shRNA	human	
PITX2	GSE67844	GSM1657075|GSM1657076|GSM1657077	GSM1657081|GSM1657082|GSM1657083	786O	KO	Human	
PPARD	GSE89729	GSM2387334|GSM2387335|GSM2387336|GSM2387337	GSM2387338|GSM2387339|GSM2387340|GSM2387341	HCT116	KO	human	
PRRX1	GSE79586	GSM2098754|GSM2098755	GSM2098744|GSM2098745	MCF7	siRNA	human	
PRRX1	GSE79586	GSM2098722|GSM2098723	GSM2098712|GSM2098713	T47D	siRNA	human	
PRRX1	GSE79586	GSM2098690|GSM2098691	GSM2098680|GSM2098681	MDAMB231	siRNA	human	
PRRX1	GSE79586	GSM2098658|GSM2098659	GSM2098648|GSM2098649	BT549	siRNA	human	
RBM10	GSE44976	GSM1095131|GSM1095132	GSM1095137|GSM1095138	HEK293	OE	Human	
RBM10	GSE44976	GSM1095128|GSM1095129	GSM1095134|GSM1095135	HEK293	KD	Human	
RBM22	GSE80945	ENCODE	GSM2138888|GSM2138889	K562	shRNA	human	
RBM27	GSE88119	ENCODE	GSM2343444|GSM2343445	HEPG2	shRNA	human	
RC3H1	GSE68611	GSM1677099|GSM1677102	GSM1677105|GSM1677108	hek293	siRNA	human	
RCOR1	GSE88246	ENCODE	GSM2343660|GSM2343661	K562	shRNA	human	
RELA	GSE57027	GSM1373306|GSM1373307|GSM1373308	GSM1373309|GSM1373310|GSM1373311	hek293	OE	human	
REST	GSE63609	GSM1553461|GSM1553462	GSM1553463|GSM1553464	MDAMB231	SIRNA	HUman	
REST	GSE90068	GSM2467446|GSM2467447|GSM2467448	GSM2396988|GSM2396989|GSM2396990	C2	shRNA	human	PBPA
REST	GSE90068	GSM2396982|GSM2396983|GSM2396984	GSM2396985|GSM2396986|GSM2396987	C2	shRNA	human	PBmPA
RUNX1	GSE75070	GSM1942104|GSM1942105|GSM1942106	GSM1942107|GSM1942108|GSM1942109	MCF7	shRNA	human	
SATB2	GSE75652	GSM1961275|GSM1961276	GSM1961277|GSM1961278	BEAS2B	OE	human	
SETDB1	GSE103409	GSM2770736|GSM2770737|GSM2770738	GSM2770733|GSM2770734|GSM2770735	THP1	KD	Human	sgRNA9-day7
SETDB1	GSE103409	GSM2770736|GSM2770737|GSM2770738	GSM2770730|GSM2770731|GSM2770732	THP1	KD	Human	sgRNA6-day7
SETDB1	GSE103409	GSM2770736|GSM2770737|GSM2770738	GSM2770724|GSM2770725|GSM2770726	THP1	KD	Human	sgRNA9-day4
SETDB1	GSE103409	GSM2770736|GSM2770737|GSM2770738	GSM2770721|GSM2770722|GSM2770723	THP1	KD	Human	sgRNA6-day4
SETDB1	GSE86813	GSM2308955|GSM2308956|GSM2308957	GSM2308961|GSM2308962|GSM2308963	Hela	KO	human	
SF3A3	GSE88228	ENCODE	GSM2343626|GSM2343627	HEPG2	shRNA	human	
SF3A3	GSE88281	ENCODE	GSM2343717|GSM2343718	K562	shRNA	human	
SOX2	GSE47058	GSM1143923|GSM1143926	GSM1143924|GSM1143925	KYSE70	siRNA	human	
SOX5	GSE89057	GSM2358062|GSM2358063|GSM2358064|GSM2358065|GSM2358066|GSM2358067	GSM2358068|GSM2358069|GSM2358070|GSM2358071|GSM2358072|GSM2358073	fetal cortex	OE	human	
SP140	GSE83381	GSM2344751|GSM2344755	GSM2344752|GSM2344756	PBMC	KD	human	
SSB	GSE88628	ENCODE	GSM2344305|GSM2344306	K562	shRNA	human	
SSRP1	GSE88264	ENCODE	GSM2343690|GSM2343691	HEPG2	shRNA	hUman	
SSRP1	GSE88635	ENCODE	GSM2344318|GSM2344319	K562	shRNA	human	
STAT3	GSE85579	GSM2278048|GSM2278049|GSM2278050	GSM2278051|GSM2278052|GSM2278053	MDAMB468	SiRNA	human	
STAT3	GSE85579	GSM2278042|GSM2278043|GSM2278044	GSM2278045|GSM2278046|GSM2278047	MDAMB157	siRNA	human	
STAT3	GSE85579	GSM2278036|GSM2278037|GSM2278038	GSM2278039|GSM2278040|GSM2278041	HCC1143	SiRNA	human	
STAT3	GSE85579	GSM2278030|GSM2278031|GSM2278032	GSM2278033|GSM2278034|GSM2278035	HCC70	siRNA	human	
STAT3	GSE85579	GSM2278024|GSM2278025|GSM2278026	GSM2278027|GSM2278028|GSM2278029	MDAMB231	SiRNA	human	
SUZ12	GSE50177	GSM1215135|GSM1215136	GSM1215137|GSM1215138	HEK293	KD	human	
SUZ12	GSE59089	GSM1427132|GSM1427133|GSM1427134	GSM1427144|GSM1427145|GSM1427146	proE	shRNA	Human	
TAL1	GSE57395	GSM1381985|GSM1381986	GSM1382001|GSM1382002	HESC	OE	Human	
TAL1	GSE72299	GSM1859759|GSM1859760	GSM1859761|GSM1859762	JURKAT	KD	human	
TAL1	GSE91677	ENCODE	GSM2423337|GSM2423338	K562	shRNA	human	
TBX3	GSE76572	GSM2028114|GSM2028115	GSM2028116|GSM2028117	HFF	shRNA	human	
TCF21	GSE44461	GSM1085736|GSM1085737|GSM1085738	GSM1085739|GSM1085740|GSM1085741	HCASMC	siRNA	Human	
TCF7L2	GSE63776	GSM1556982|GSM1556983|GSM1556984	GSM1556985|GSM1556986|GSM1556987	PANC1	siRNA	Human	
TFAP4	GSE102652	GSM2742421|GSM2742422|GSM2742423	GSM2742424|GSM2742425|GSM2742426	NGP	KD	Human	
TFAP4	GSE102652	GSM2742415|GSM2742416|GSM2742417	GSM2742418|GSM2742419|GSM2742420	SKNDZ	KD	Human	
TFE3	GSE62077	GSM1519398|GSM1519399	GSM1519400|GSM1519401	8988T	siRNA	human	construct1
TFE3	GSE62077	GSM1519398|GSM1519399	GSM1519402|GSM1519403 	8988T	siRNA	human	construct2
TOX4	GSE56788	GSM1369063|GSM1369078|GSM1369093	GSM1369077|GSM1369092|GSM1369107	HCT116	siRNA	human	
TP53	GSE68248	GSM1666285|GSM1666286|GSM1666287	GSM1666282|GSM1666283|GSM1666284	MDAMB231	siRNA	human	
TP53	GSE76023	GSM1972962|GSM1972963	GSM1972966|GSM1972967	HESC	siRNA	human	
TP63	GSE47058	GSM1143923|GSM1143926	GSM1143927|GSM1143928	KYSE70	siRNA	human	
TSHZ3	GSE79586	GSM2098750|GSM2098751	GSM2098754|GSM2098755	MCF7	siRNA	human	
TSHZ3	GSE79586	GSM2098722|GSM2098723	GSM2098718|GSM2098719	T47D	siRNA	human	
TSHZ3	GSE79586	GSM2098690|GSM2098691	GSM2098686|GSM2098687	MDAMB231	siRNA	human	
TSHZ3	GSE79586	GSM2098658|GSM2098659	GSM2098654|GSM2098655	BT549	siRNA	human	
U2AF1	GSE66553	GSM1624875|GSM1624882	GSM1624877|GSM1624884	A549	KD	human	
U2AF1	GSE80880	ENCODE	GSM2138758|GSM2138759	K562	shRNA	human	
U2AF1	GSE88226	ENCODE	GSM2343622|GSM2343623	HepG2	shRNA	human	
U2AF1	GSE94153	GSM2471143|GSM2471144|GSM2471145	GSM2471146|GSM2471147|GSM2471148	CFU-G	OE	human	
U2AF1	GSE94153	GSM2471134|GSM2471135|GSM2471136	GSM2471137|GSM2471138|GSM2471139	BFU-E	OE	human	
UBTF	GSE88181	ENCODE	GSM2343548|GSM2343549	K562	shRNA	human	
VEZF1	GSE91435	ENCODE	GSM2422928|GSM2422929|GSM2422930	K562	shRNA	hUman	
XPA	GSE100855	GSM2695289|GSM2695290|GSM2695291	GSM2695295|GSM2695296|GSM2695297	HELA	KO	human	
YBX1	GSE79586	GSM2098690|GSM2098691	GSM2098674|GSM2098675	MDAMB231	siRNA	human	
YBX1	GSE79586	GSM2098658|GSM2098659	GSM2098642|GSM2098643	BT549	siRNA	human	
YEATS2	GSE90781	GSM2412402|GSM2412403	GSM2412404|GSM2412405	H1299	shRNA	human	
ZBTB48	GSE96777	GSM2543177|GSM2543178|GSM2543179|GSM2543180|GSM2543181	GSM2543182|GSM2543183|GSM2543184|GSM2543185|GSM2543186	U2OS	KO	human	
ZBTB48	GSE96777	GSM2543167|GSM2543168|GSM2543169|GSM2543170|GSM2543171	GSM2543172|GSM2543173|GSM2543174|GSM2543175|GSM2543176	Hela	kO	human	
ZEB1	GSE64558	GSM1574311|GSM1574312	GSM1574320|GSM1574321	CFPAC1	OE	Human	
ZEB1	GSE90489	GSM2402794|GSM2402795|GSM2402796	GSM2402797|GSM2402798|GSM2402799	primary-corneal-endothelial-cells	siRNA	human	
ZEB2	GSE69618	GSM1704812|GSM1704813|GSM1704814|GSM1704815	GSM1704808|GSM1704809|GSM1704810|GSM1704811	H1	shRNA	human	day10
ZEB2	GSE69618	GSM1704804|GSM1704805	GSM1704800|GSM1704801	H1	shRNA	human	day6
ZEB2	GSE69618	GSM1704796|GSM1704797	GSM1704792|GSM1704793	H1	shRNA	human	day2
ZIC3	GSE79306	GSM2091241|GSM2091242|GSM2091243	GSM2091253|GSM2091254|GSM2091255	HUVEC	OE	hUman	
ZMAT4	GSE79586	GSM2098754|GSM2098755	GSM2098748|GSM2098749	MCF7	siRNA	human	
